_id,productName,productDesc,price,productImageURL
66a121158a30c728c6f2f978,Maxi Dress,This elegant maxi dress is perfect for formal events and summer parties,2499,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721835781065_Sherri-Hill-54397-gold-50585.jpg?alt=media&token=eb0155ea-389e-49c0-b4b9-f919438521c2
66bdcad01c0f7a372b0d7c77,Hoodie,Grey solid Hoodeie for Men,999,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723714226315_1e64072f24e4b2ef1_2cff2d02-21e2-4618-a047-841468a88e8b.jpg?alt=media&token=c9a3fe85-6725-42a2-9020-c335d791ae0c
66bdcedc128ed9dbbbff1aa7,Brown Heels for Women,Office wear classy shoes  for women,1000,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723715263758_images%20(1).jpeg?alt=media&token=e1d1b265-01f9-40ca-b5f1-58c80094e955
66a136773cc14dc03641a80e,Sweater Dress,Stay warm and stylish with this cozy sweater dress.,1822,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721841254680_61pANkM3W-L._AC_UY1100_.jpg?alt=media&token=678f968e-e62c-4f92-8e1a-f32d6a31464c
66bdd0ca128ed9dbbbff234e,Silky sarees for women ,Partywear silk sarees for women ,1000,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723715756160_product-jpeg.jpg?alt=media&token=c0f77076-4ef8-45da-9b1e-cf0a57641bfa
66a137843cc14dc03641a87e,Tshirts ,Beige White Marron Pack of 3 tshirts,899,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721841525374_hmgoepprod.jpeg?alt=media&token=438a679d-956a-4513-adce-fec24869206b
66a05e48c4d0c586d1ac8fca,Black Short Party dress,"Black bodycon , flarred skirt design , perfect to flaunt any party look",1999,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721785924880_Screenshot%202023-05-03%20000322.png?alt=media&token=830e49fc-36d7-43e7-af95-04d46e7ff4b0
66bdd17d41cb96829cdee46f,Newly wed brides red saree,"Red Gorgeous Saree for women , new brides ",2599,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723715962728_image_zoom.jpeg?alt=media&token=3154f1cd-374b-4755-ba62-c8c75ac179fc
66bdcb3b79435508bddb4c77,Chinos for men,Rich Black Chinos for Men ,899,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723714362449_rich_black_chinos_for_men_base_05_06_2023_700x933.jpg?alt=media&token=629e0523-a798-47ff-9bf2-e75f33341cf8
66a11aea90c7b78cb88c0c37,Red Dress,Red Party wear Dress for Women ,999,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721834201714_Screenshot%202023-05-03%20000643.png?alt=media&token=8d910994-1df3-4ce0-a01c-ce226db2fbe5
66bdce17128ed9dbbbff1a9c,Gold  Necklace,A stylish gold  necklace for everyday wear.,50000,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723715089711_Gold%20Necklace.jpg?alt=media&token=cfddd071-caef-415b-a6ae-27df5a6d71ba
66a137de3cc14dc03641a881,Sweat shirts for men,Sweat shirts for men (Black) ,679,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721841614495_black-men-s-sweatshirt.jpg?alt=media&token=7b551f35-4127-45b9-9329-fdf8bf06d44b
66bdce70128ed9dbbbff1a9f,Bridal Shoes for Women,Stylish glamporous Bridl wear shoes for women,12200,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723715156631_61NHE08FygL._AC_UY300_.jpg?alt=media&token=5f1ba9d8-9e0d-4986-8ed5-13049a689e25
66bdd133ceb3106cc1ac0e7d,Black sexy sarees for women,Black sexy saree to flaunt on all occassions,789,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723715863072_2189873d-9176-4cd0-86e7-5373c134f69c1701191303413SangriaBlackGeorgetteEthnicEmbellishedPartyWearSareewithMatc1.jpg?alt=media&token=e305ad7c-7f15-4853-abfd-6565880d8037
66bdce8c128ed9dbbbff1aa4,Sapphire Bracelet,Delicate bracelet adorned with sparkling sapphires.,10000,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723715207335_Sapphire%20Bracelet.jpg?alt=media&token=d7abe2df-1c37-4e5b-a278-27dedfc0d297
66a120a4c575ef84c2743198,Puffer Jacket,Puffer Jacket,1278,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721835669904_-473Wx593H-469551793-red-MODEL.jpg?alt=media&token=2d3b9976-1d2e-4d20-814a-f719e5c8d756
66a136f33cc14dc03641a814,Sweater Dress,Stay warm and stylish with this cozy beige sweater dress.,1390,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721841378643_654e400ba4861169d929c1fd-prettyguide-women-s-turtleneck-sweater.png?alt=media&token=ed67f8bf-b6a1-4682-93c4-56a329122ce9
66a11b9190c7b78cb88c0c3a,Classic White Tee,"A timeless classic, this white tee is perfect for any casual outfit.",499,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721834369855_promotional-t-shirt-white-polyester.jpg?alt=media&token=8964df3d-9474-4fc7-bff3-f821af95f1ed
66bdcd094865ad4e1d605fa8,Pearl Drop Earrings,Elegant drop earrings featuring lustrous pearls.,1000,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723714824379_earring.jpeg?alt=media&token=e3cf2719-e5b0-4194-b21e-d8ee5a679bb1
66bcad577f37c4b83f53d2f8,Enjoy Fashion Saree,Sari engagement Manish Malhotra,2999,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723641145181_saree.png?alt=media&token=d9f30295-f305-47ce-9618-8525353c6f19
66bdca6174406a614e2bf89e,Beige Shirt for Men,Classic formal wear beige shirt for Men ,999,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723714116738_images.jpeg?alt=media&token=70285f43-23d1-4538-b8be-c5b1e41c3090
66a11d8686ea0db08f28791f,Skinny Jeans,"Stylish and comfortable, these skinny jeans are a wardrobe essential.",999,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721834870465_upload9223368955666177953.jpg?alt=media&token=2a633dbd-f20c-421c-8039-00a4d3e41c6d
66a12037c575ef84c2743195,Wrap Dress,"Flattering and chic, this wrap dress is perfect for any occasion",1599,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721835559326_06397b77682b743e917ca1a7a8744c86.jpg?alt=media&token=964bcd20-9d4a-4216-9f3e-b3a7a2db70fa
66bdcf27128ed9dbbbff1c71,Ruby Pendant,Stunning ruby pendant set in a gold frame.,50000,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723715365896_Ruby%20Pendant.jpg?alt=media&token=1030d617-0c03-43c3-84a6-168b49fa1383
