_id,productName,productDesc,price,productImageURL,productOwner,productOwnerName,orders,sizes,__v
66be3e08953c0068916c8337,Hoodie Men wear ,Mens classic hoodie to flaunt all looks ,875,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723743749942_1e64072f24e4b2ef1_2cff2d02-21e2-4618-a047-841468a88e8b.jpg?alt=media&token=b9f0ba1c-37c4-4157-987a-de7fae47095e,66be3d4c953c0068916c831e,Big Bazaar,[],"['S', 'M', 'L']",0
66a136f33cc14dc03641a814,Sweater Dress,Stay warm and stylish with this cozy beige sweater dress.,1390,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721841378643_654e400ba4861169d929c1fd-prettyguide-women-s-turtleneck-sweater.png?alt=media&token=ed67f8bf-b6a1-4682-93c4-56a329122ce9,66a1360205346c91771b198c,zudio,"[{'_id': '66a138d8b2c23e63ca80a80a'}, {'_id': '66a139aa5dbbef9ab06dbd66'}]","['S', 'M']",0
66bdcedc128ed9dbbbff1aa7,Brown Heels for Women,Office wear classy shoes  for women,1000,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723715263758_images%20(1).jpeg?alt=media&token=e1d1b265-01f9-40ca-b5f1-58c80094e955,66a1360205346c91771b198c,zudio,[],"['S', 'M', 'L']",0
66a11ff9c575ef84c2743192,V-Neck Sweater,classic V-neck sweater,659,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721835494712_knit-sweater-pattern-stockinette-stitch-sweater-v-neck-sweater-knitting-pattern-1.jpg?alt=media&token=29ebf400-e5ba-4e0b-bf65-618f81684826,66a11f5b9c7be14791f95c04,ZaRa,[],"['S', 'M', 'L', 'XL']",0
66a11aea90c7b78cb88c0c37,Red Dress,Red Party wear Dress for Women ,999,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721834201714_Screenshot%202023-05-03%20000643.png?alt=media&token=8d910994-1df3-4ce0-a01c-ce226db2fbe5,66a05dcec4d0c586d1ac8f75,Fashionera,[],"['M', 'S', 'L']",0
66bf0ba42cf1e140697d6fb6,Snow Forest Wood Ring,"The Snow Forest Wood Ring features intricate carvings inspired by a snowy woodland scene. Handcrafted from sustainably sourced wood, it has a frosted finish that mimics snowflakes, creating a unique and elegant nature-inspired piece.",3499,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723796387517_Snow%20Forest%20Wood%20ring.jpg?alt=media&token=4c9aa71b-34c1-42e9-9b45-d90d4e0e0ce3,66bdc925fa9b7fbbc3a472fe,Debopriya,[],"['XL', 'M', 'L', 'S']",0
66bdcd094865ad4e1d605fa8,Pearl Drop Earrings,Elegant drop earrings featuring lustrous pearls.,1000,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723714824379_earring.jpeg?alt=media&token=e3cf2719-e5b0-4194-b21e-d8ee5a679bb1,66bdc925fa9b7fbbc3a472fe,Debopriya,[],['L'],0
66be4392405983211aa31f5a,Gold Trending Bangles,special Handcrafted Bangles for occasions,120000,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1723745169473_bangles.jpeg?alt=media&token=548385d1-3ab7-4306-8308-9099ab3a8466,66be423c405983211aa31f44,shoper,[],"['L', 'M', 'S']",0
66a137843cc14dc03641a87e,Tshirts ,Beige White Marron Pack of 3 tshirts,899,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721841525374_hmgoepprod.jpeg?alt=media&token=438a679d-956a-4513-adce-fec24869206b,66a1360205346c91771b198c,zudio,[],"['S', 'M']",0
66a137de3cc14dc03641a881,Sweat shirts for men,Sweat shirts for men (Black) ,679,https://firebasestorage.googleapis.com/v0/b/shopnest-8c2cf.appspot.com/o/Images%2F1721841614495_black-men-s-sweatshirt.jpg?alt=media&token=7b551f35-4127-45b9-9329-fdf8bf06d44b,66a1360205346c91771b198c,zudio,[],"['S', 'M', 'L']",0
